plate,price
BU 5,788000.0
APK 6,73800.0
APD 9000,3800.0
VQG 2112,4500.0
VQL 34,8800.0
SJP 4,39800.0
JYU 133,3800.0
SD 47,38800.0
BSG 636,2800.0
RW 6661,7800.0
QAB 9 K,65888.0
VPB 8811,2500.0
SU 22 Q,14800.0
PSA 18,22800.0
VKY 2525,2500.0
VQA 27,18800.0
BSE 8778,2500.0
VGQ 266,4800.0
DFP17,12800.0
TCV 886,3800.0
BHF 83,11800.0
VPT 9393,4300.0
VMM 7203,1300.0
ANX 2288,2800.0
JAM 82,12800.0
ANU 9898,3300.0
VPA 2211,3800.0
JVT 818,5800.0
PHF 55,26800.0
SMN 37,9800.0
APK 699,2900.0
VQB 24,10800.0
RBA 8181,2800.0
DP 96,78800.0
VQK 118,11800.0
VKK 3899,1600.0
DFF 2332,2500.0
PRF 74,6800.0
VPT 575,3800.0
APK 1818,3800.0
VMV 5211,1000.0
SP 767,6800.0
DEM 66,20000.0
VQB 1999,3500.0
VMV 6396,1000.0
VQK 31,13800.0
PSD66,21800.0
TAQ 999,26800.0
SYK2424,1599.0
JGD 96,20900.0
PMK 21,19900.0
BSU 35,11800.0
VQT5,93999.0
RAH 338,2800.0
JYU 70,9800.0
VPA 1168,2500.0
BEW9,126000.0
NM 161,7300.0
PSD 77,28800.0
WWV 21,19800.0
VPE 993,2500.0
SU 9 P,81588.0
SJR 9666,2800.0
WDB66,27800.0
VMV 3122,1300.0
ADV89,11300.0
SAS 7,448000.0
VQR 66,31900.0
NEK 899,4900.0
PQP 34,7800.0
VMM 8009,1300.0
VPC 633,2300.0
VQG 7711,3800.0
VMT 321,1600.0
BSU 13,16800.0
VMV 2345,1300.0
VQR3311,3800.0
APL 35,8800.0
FH 8898,10800.0
BCA 1,488000.0
MV 99,168000.0
JUP 26,18800.0
BSU 505,3500.0
BSP 63,15800.0
NEB 4848,3900.0
VMV 6398,1000.0
DFA 9,132888.0
NEJ 686,4900.0
NEG 9889,4300.0
VPN 2,128000.0
CFC 8686,6800.0
CJ 110,8800.0
VPV 3737,2800.0
BSL323,4800.0
WTT2,228800.0
QAB 68 C,11800.0
QMU 9,113888.0
DFP 6868,4900.0
VMV 1419,1000.0
W20,388000.0
TDG 9988,3800.0
NEK 76,7800.0
APD 666,17800.0
VQA 8886,3800.0
VMV 3553,2500.0
JYU 63,12800.0
JVR 6611,3388.0
BRK 6611,3888.0
VEV44,18800.0
VMM 7898,1300.0
BSF 1331,5000.0
FH 3233,4800.0
VMV 5245,1000.0
VNX 886,3800.0
BHA 1111,38800.0
VQU 115,3800.0
VMV 2867,1000.0
PPN 86,21800.0
VPB 1117,2800.0
VMV 7867,1000.0
SWQ 8787,3888.0
VQT 1212,6800.0
NAJ 99,39800.0
JGK 11,68800.0
RBE36,12800.0
VMM 8677,1300.0
M 42 M,26800.0
VMM 9123,1300.0
VQH 8800,3800.0
KFM 28,22800.0
QKY 444,8900.0
VPS 12,24800.0
VMV 107,1600.0
JYV 999,21800.0
SMV 92,10900.0
VMV 6285,1000.0
PNN 2222,11800.0
VQC 3223,3800.0
JYV 9988,3800.0
RBA 929,2800.0
FB 90,43800.0
WV 101,18800.0
VMM 7512,1300.0
PSD 111,14800.0
KGF 898,3300.0
VPB 636,2800.0
RK 85,39800.0
VMV 9266,1300.0
VQF 63,15800.0
KGE 77,22800.0
SJE 9,105888.0
MDV 38,11800.0
VMV 3308,1000.0
TDG 2121,3800.0
APG 1118,4300.0
DFF 3288,2300.0
BKD 8,108000.0
VMM 8208,1300.0
KBQ 12,18900.0
TDA 800,4800.0
KGB 19,18800.0
BSU 31,8800.0
VMV 6383,1000.0
VMV 1317,1000.0
SMT 118,10800.0
RBD22,19800.0
VNE 8787,3888.0
SB 101 J,4900.0
PSD86,9800.0
JYL 8787,3888.0
VMM 7488,1300.0
NEH 288,6300.0
DJ 8388,14800.0
PRP 171,2800.0
PRV 39,12800.0
QCV 87,9900.0
SWQ 555,16800.0
KFP 59,6800.0
RAU 5555,9800.0
BRY90,15900.0
UUU 9793,1800.0
BSU 585,3500.0
VNW 638,2500.0
ANU 9009,2800.0
VMM 9295,1300.0
JYU 55,30800.0
VMV 2340,1000.0
RBE 168,8800.0
PQX10,36800.0
VQR 13,25800.0
VQJ 25,11800.0
BSL282,3800.0
FH 188,16800.0
VMM 8908,1300.0
VQE99,39800.0
VMF 6628,1200.0
SWJ 5,89800.0
VMV 3183,1000.0
BSU 1888,4300.0
BSH 788,3500.0
PSD 51,7300.0
BSU 155,3800.0
BSU89,9800.0
FH 6633,7800.0
VQT 95,12800.0
VMV 4063,1000.0
VNT 555,14300.0
Y 9999,218800.0
VMV 6294,1000.0
DFP 2,98000.0
T80,318000.0
VQP 8118,4500.0
VQB 7227,3800.0
WAQ 33,30000.0
VQS 38,11800.0
VQU1111,11800.0
JUG 8,228888.0
VIP 1080,5800.0
JYV 393,3300.0
KGF 633,3300.0
SJR 228,4300.0
VKX 380,1600.0
MEE 92,16800.0
SJQ 55,26800.0
BBB 366,26800.0
PCJ8,115999.0
A1993A,6800.0
XIASEAN 9,219800.0
VQL 616,3800.0
TDF168,4800.0
VMV 9589,1000.0
VQL 225,3500.0
AEN 222,18800.0
RBD 8989,4300.0
VNR 151,2800.0
KFK 113,5800.0
VMM 7954,1300.0
NEK 9898,3300.0
WAU 9,225888.0
RBE 6688,4500.0
KFW10,23800.0
JYV 313,6900.0
VMA 2500,1000.0
RBB 363,2800.0
BSU 2626,3800.0
RBE 9999,14300.0
RBE1122,3800.0
DFP 69,9300.0
UC 5664,1900.0
VQF 89,13800.0
JWE 8888,17500.0
DFN 222,14800.0
KGF 6666,10800.0
TDG 89,10800.0
WCC 8,299800.0
BSP 73,9800.0
CL 232,16800.0
VMV 7710,1000.0
WRJ 19,22800.0
VMV 5909,1000.0
VMV 421,1300.0
ALL 9319,11800.0
KGD 12,19800.0
VMH 169,1300.0
VX 9990,1600.0
VMM 7895,1300.0
CFE 96,17800.0
AAD 333,33000.0
VPP 202,4300.0
BEF 27,19800.0
BSU 91,11800.0
APG 8989,4300.0
NEK 1212,5300.0
VKY 2026,1000.0
VKB 3636,3300.0
TAN 775,26800.0
VNY 8880,2500.0
VQN 3,103000.0
APD 2112,3800.0
JVJ44,20900.0
QAB 1,333800.0
VMU 2233,3500.0
WQR 2222,7800.0
PMM 9,268000.0
VMV 8797,1000.0
BSU 900,4500.0
VQM 3333,15800.0
VJA 1208,1000.0
NU 119,7300.0
PSD 110,3300.0
CFE 93,11800.0
VQU 727,4800.0
VIP 2282,9800.0
WYN 23,17900.0
VMV 4541,1000.0
VNT 3888,2800.0
VMM 8186,1300.0
VMM 7176,1300.0
DFP 12,17900.0
NEH 1818,5800.0
VNB 3393,1200.0
SIS 8666,6800.0
VQT 2222,8300.0
GT 100,29800.0
TBB8,268000.0
KF33Q,28800.0
VLS 3899,1300.0
IM 1313,68000.0
NEE 8898,6300.0
RR203,18000.0
BNA 81,10800.0
UC 666,68000.0
KFH 7,85000.0
VMR 129,2800.0
RBE 777,14800.0
TBW 10,34800.0
BSP 35,11800.0
VMM 8608,1300.0
VPA 3000,2800.0
VPV 3131,6800.0
QRX 1818,5500.0
VPB 47,8800.0
NEJ 19,21800.0
QCV 63,14800.0
JYU 69,11800.0
KGF 113,2900.0
JYV5555,7800.0
ANU 8811,2800.0
BSU 6699,3500.0
VMV 7879,1000.0
VQH 15,17800.0
RAX 13,24800.0
BSS 18,48800.0
BBT 7,179888.0
JYV 9999,18300.0
ANU 262,2800.0
CN 92,49800.0
MDV 53,6800.0
WWT 6611,2500.0
GOLD 1168,9900.0
VMV 8907,1000.0
VQT 16,13500.0
VMV 9820,1000.0
RBD 3333,13800.0
VMV 9594,1000.0
RBD 121,3800.0
VPS 778,3800.0
SW 16,98000.0
VQU 2211,3800.0
SU 27 Q,9800.0
BSU 3288,3500.0
FE 1997,1600.0
RG833,16800.0
APD 252,3500.0
RBB 2992,2500.0
WMA 4,49800.0
SJL 71,10800.0
AGY 5,128000.0
KGF 82,7300.0
VMV 5498,1000.0
BSL688,4500.0
VMV 9182,1000.0
VMM 7328,1300.0
VQV 163,5800.0
SJR 500,3800.0
PSD 126,3300.0
VQM 2121,4300.0
WH 303,23800.0
QS 999,68800.0
RBD 966,3500.0
APL 888,18800.0
JM 366,26900.0
VPN 6388,3500.0
BST 288,6500.0
SJQ 22,26800.0
VPN 8899,4800.0
WKX 96,13800.0
NA37,40800.0
VMV 7110,1000.0
QDC 70,7800.0
VMV 9200,1300.0
PRP 6633,2800.0
VLG 5555,10800.0
DFP 999,19300.0
FH 667,8300.0
SP 7007,6500.0
SMV 20,13900.0
JYU 969,3800.0
RH38,68800.0
QM 51 U,8800.0
VQM 91,15800.0
VMV 1014,1000.0
SMU 724,3900.0
QBJ 89,9800.0
QDC 7777,12300.0
UNISZA 2,88800.0
VMV 1134,1600.0
BSD 122,2500.0
VPA 6363,3800.0
RBE 6888,3800.0
ANB 59,7800.0
VKP 8282,2400.0
KGF 8989,3300.0
RA 26,83800.0
APD 3223,3800.0
VQA 5151,3800.0
JYD96,17800.0
PNL 38,8800.0
VGY91,8900.0
BSU22,19800.0
PSD 288,3800.0
ANE 11,58800.0
DFP 27,12300.0
CY886,6800.0
BSJ 5000,2800.0
QCF 7,73000.0
QM999U,12800.0
VQT11,33990.0
EV 45,49800.0
JML 69,15800.0
BSL877,3500.0
VMV 242,2800.0
VQB 171,4300.0
VMQ 3636,3300.0
VQU 889,4300.0
APC 2266,3800.0
VNV 8838,4300.0
ANU 1331,2800.0
KFK 84,7800.0
DFN 11,42800.0
VBC 70,10800.0
WQV 7777,15800.0
VMV 1886,1300.0
APK 663,2900.0
PSD 16,13300.0
BBB 991,26800.0
SJR 9966,3300.0
SP 97,42800.0
DBJ 99,44800.0
CFE 99,39800.0
VQV 666,23800.0
SP 8822,6800.0
VQA 3663,3800.0
VMM 9444,1300.0
VMM 8522,1300.0
APC 1771,3800.0
VNW 320,2300.0
BSH 663,3500.0
VMM 7567,1300.0
BRH 75,7800.0
GM 511,9000.0
VQR 2200,3800.0
BHR 52,6300.0
VQU26,11800.0
APD 35,11800.0
RBE 1122,3800.0
CFD 11,39000.0
MEE 9988,6800.0
VMM 9598,1300.0
BSP 8889,3800.0
RBE 23,17900.0
SP 8833,6800.0
VQU 66,30800.0
VMV 5051,1000.0
VLA 18,31888.0
VQF 65,8800.0
VMV 7898,1000.0
VMV 1778,1000.0
BEH 1,888888.0
VMV 2324,1000.0
PSD 3000,3300.0
UC 58,30800.0
JYU 886,3800.0
QDD 55,68800.0
JDD 56,17800.0
BSP 2628,4800.0
VQV 111,39800.0
JYV 1000,4300.0
D633,45800.0
CAW 7,80888.0
QT 76,36800.0
VMM 7354,1300.0
RBD 5000,4300.0
SP 2882,6800.0
VMV 6981,1000.0
APC 2772,3800.0
JX 728,7700.0
PRQ 13,20800.0
WNE 68,13300.0
PHH 4444,11800.0
VMM 8474,1300.0
RBE 889,4300.0
RBA 34,7800.0
JWH 6611,3388.0
UM 3328,2800.0
BSU1717,3800.0
G 9398,9800.0
VMX 6626,1300.0
BSP 911,5800.0
VNT 8228,2800.0
SMR 7,98000.0
DFF 757,2500.0
JYV 5000,3300.0
VND 2000,3300.0
VMV 5559,1600.0
VNK 1131,1600.0
QDA 32,8800.0
VPA 5551,1300.0
AHF 1,499800.0
VDA 2628,2500.0
VMM 9109,1300.0
APK 2233,3300.0
BSL 24,10800.0
KAW66,29800.0
UU 88,588000.0
VMV 4526,1000.0
VPD 66,30800.0
QRX 8118,4300.0
QM 228 U,4800.0
PGY 18,26800.0
WAJ 889,10900.0
VCQ 138,4900.0
ANW 383,2800.0
VQD99,39800.0
VMV 1638,1300.0
SU 168 Q,4800.0
MX 62,29800.0
VMV 1522,1000.0
VPM 6666,15800.0
VPD 505,3800.0
SAC 333 A,11800.0
VMV 9251,1000.0
BSU 36,13900.0
TN 86,58800.0
JT 888,118800.0
CFF 18,41800.0
KDX 9,128000.0
VMV 443,1600.0
A41A,118800.0
RBE 9889,4300.0
VMV 630,1600.0
VQV 328,5800.0
VK9999,46800.0
SU 22 P,18800.0
RBE 9966,3800.0
RBE 8998,4300.0
VQR88,31990.0
BSP 38,12800.0
SP 1331,6800.0
VQS 866,3300.0
EV 6966,5800.0
VMV 3403,1000.0
VJL 54,7800.0
SWR 87,8000.0
NK 68,68800.0
VPD 999,23800.0
TDD 88,89800.0
DFP 19,16800.0
A95A,63800.0
DFP 222,10300.0
RR 1717,38800.0
VMV 1175,1000.0
VQS 663,3300.0
VMY 599,1600.0
ANU 797,2800.0
VMV 6825,1000.0
TDG 82,8300.0
WYK 121,2800.0
VQB 3232,3800.0
VFM 9696,3800.0
VJQ 6626,1300.0
VQA3123,1000.0
KEY 9988,6800.0
APK 6000,3300.0
JPR 3,198000.0
VMM 8758,1300.0
VMV 7079,1000.0
VNS 11,39000.0
VQH 1818,6500.0
VQU 1515,3800.0
PR8883,12800.0
BSP 5151,3800.0
VMW 11,53800.0
BQQ 5555,29900.0
VMV 9633,1300.0
VMV 3813,1000.0
SU 668 Q,3300.0
M6663,36800.0
VQJ 5151,3800.0
BSP 880,3800.0
ANX 2882,2500.0
VPN 128,5500.0
MEE 111,89800.0
SP 2552,5500.0
NEK 800,3800.0
VMM 8902,1300.0
BSU666,12666.0
SJ 666,39800.0
JYV 80,10900.0
JYS 6999,3900.0
AP 8822,8500.0
JSG 2020,2300.0
VQK 16,18800.0
VMV 3639,1000.0
JLW 6,139800.0
BSL628,3500.0
TDG9988,3800.0
KGF 500,3800.0
QBJ 82,10900.0
WTV 8,148000.0
VNN 368,2500.0
YY 24,89800.0
VQV 11,69800.0
SJR 899,4300.0
KGF 116,2900.0
PHR 77,30800.0
VPJ 1,388000.0
VPG 1118,5800.0
WA8888Q,19800.0
BST 29,13900.0
RAY 505,13800.0
DE 6666,30800.0
VQS 80,13800.0
VPS 8686,4800.0
SJR 666,19900.0
DEN66,28000.0
VMV 9225,1000.0
WWP 4,79800.0
BSG 7878,2500.0
RBA 119,2500.0
RBE 17,24900.0
RBE 8999,3800.0
QDD 8282,4800.0
DFP 98,10300.0
VQT 33,28800.0
VNT 9595,2800.0
VQU 1188,4800.0
KGD 666,16800.0
CBS 77,26800.0
